year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Vysočina,Žďár nad Sázavou,Kuřimská Nová Ves,1,0,8,18,0,,0,0,,,0,0,1,1,0,1,1,1,24,0,0,1,1,27,1,0,0,,,103,86,86
2002,Vysočina,Žďár nad Sázavou,Újezd u Tišnova,2,0,3,12,0,,0,0,,,0,0,0,2,0,0,1,0,21,0,0,0,0,27,3,0,0,,,89,71,71
2002,Vysočina,Žďár nad Sázavou,Kuřimské Jestřabí,0,0,9,20,1,,1,2,,,0,0,0,0,2,0,0,0,18,0,0,0,0,19,0,0,1,,,102,73,74
2002,Vysočina,Žďár nad Sázavou,Unčín,0,0,21,15,12,,0,0,,,0,0,0,0,0,0,0,0,16,2,1,0,0,43,3,0,1,,,151,114,114
2002,Vysočina,Žďár nad Sázavou,Kyjov,0,0,2,3,1,,0,0,,,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,0,,,44,35,35
2002,Vysočina,Žďár nad Sázavou,Vatín,1,0,20,37,4,,0,0,,,1,0,0,0,0,0,7,1,34,0,0,0,0,56,13,0,1,,,241,175,175
2002,Vysočina,Žďár nad Sázavou,Lavičky,1,0,12,13,3,,0,4,,,0,0,0,1,0,0,5,0,83,1,0,0,0,44,5,0,1,,,288,173,173
2002,Vysočina,Žďár nad Sázavou,Věcov,3,0,47,53,11,,0,0,,,2,0,2,2,0,1,5,1,82,0,0,0,0,126,26,2,0,,,500,363,363
2002,Vysočina,Žďár nad Sázavou,Lhotka,2,0,10,24,2,,1,0,,,1,0,1,0,0,3,1,1,20,0,0,0,0,23,1,0,1,,,115,91,92
2002,Vysočina,Žďár nad Sázavou,Věchnov,0,0,20,45,3,,0,0,,,0,0,0,1,0,1,0,2,26,8,1,0,0,49,8,0,0,,,239,164,164
2002,Vysočina,Žďár nad Sázavou,Lísek,0,0,20,16,2,,0,0,,,0,0,2,0,0,0,4,1,46,4,0,1,0,69,6,1,0,,,279,172,172
2002,Vysočina,Žďár nad Sázavou,Velká Bíteš,8,0,391,512,39,,5,7,,,2,7,5,11,0,7,51,10,461,8,0,8,14,838,53,2,7,,,3760,2446,2461
