year,region,county,town,voters,votes_ok,votes_all
1996,Středočeský kraj,Kladno,Tuřany,356,285,287
1996,Středočeský kraj,Kladno,Uhy,247,214,216
1996,Středočeský kraj,Kladno,Unhošť,2845,2140,2155
1996,Středočeský kraj,Kladno,Velká Dobrá,811,687,690
1996,Středočeský kraj,Kladno,Velké Přítočno,561,447,452
1996,Středočeský kraj,Kladno,Velvary,2272,1800,1813
1996,Středočeský kraj,Kladno,Vinařice,1946,1614,1636
1996,Středočeský kraj,Kladno,Vraný,464,358,362
1996,Středočeský kraj,Kladno,Vrbičany,123,94,96
1996,Středočeský kraj,Kladno,Zájezd,73,55,55
1996,Středočeský kraj,Kladno,Zákolany,393,337,337
1996,Středočeský kraj,Kladno,Zichovec,54,54,54
1996,Středočeský kraj,Kladno,Zlonice,1532,1142,1145
1996,Středočeský kraj,Kladno,Zvoleněves,613,490,495
1996,Středočeský kraj,Kladno,Želenice,127,83,86
1996,Středočeský kraj,Kladno,Žilina,474,470,474
1996,Středočeský kraj,Kladno,Žižice,378,306,306
1996,Středočeský kraj,Kolín,Barchovice,159,139,139
1996,Středočeský kraj,Kolín,Bečváry,744,637,641
1996,Středočeský kraj,Kolín,Bělušice,194,148,149
1996,Středočeský kraj,Kolín,Břežany I,232,198,198
1996,Středočeský kraj,Kolín,Břežany II,374,299,301
1996,Středočeský kraj,Kolín,Býchory,384,325,326
1996,Středočeský kraj,Kolín,Cerhenice,1118,917,928
1996,Středočeský kraj,Kolín,Církvice,132,119,119
1996,Středočeský kraj,Kolín,Černé Voděrady,229,192,193
1996,Středočeský kraj,Kolín,Červené Pečky,1211,979,985
1996,Středočeský kraj,Kolín,Český Brod,5440,3730,3753
1996,Středočeský kraj,Kolín,Dobřichov,536,477,483
1996,Středočeský kraj,Kolín,Dolní Chvatliny,316,277,278
1996,Středočeský kraj,Kolín,Dománovice,118,108,109
1996,Středočeský kraj,Kolín,Doubravčice,156,128,129
1996,Středočeský kraj,Kolín,Drahobudice,153,135,135
1996,Středočeský kraj,Kolín,Grunta,67,61,61
1996,Středočeský kraj,Kolín,Horní Kruty,377,322,323
1996,Středočeský kraj,Kolín,Hradešín,147,110,110
1996,Středočeský kraj,Kolín,Chotutice,358,316,317
1996,Středočeský kraj,Kolín,Chrášťany,419,319,325
1996,Středočeský kraj,Kolín,Jestřabí Lhota,258,222,225
1996,Středočeský kraj,Kolín,Jevany,380,295,297
1996,Středočeský kraj,Kolín,Kbel,181,166,166
1996,Středočeský kraj,Kolín,Klášterní Skalice,90,82,82
1996,Středočeský kraj,Kolín,Klučov,623,454,460
1996,Středočeský kraj,Kolín,Kolín,24870,19003,19131
1996,Středočeský kraj,Kolín,Konárovice,556,464,465
1996,Středočeský kraj,Kolín,Konojedy,111,98,98
1996,Středočeský kraj,Kolín,Kořenice,455,374,380
1996,Středočeský kraj,Kolín,Kostelec nad Č.Lesy,2637,1956,1964
1996,Středočeský kraj,Kolín,Kouřim,1398,1119,1128
1996,Středočeský kraj,Kolín,Kozojedy,404,329,330
1996,Středočeský kraj,Kolín,Krakovany,594,506,508
1996,Středočeský kraj,Kolín,Krupá,248,218,220
1996,Středočeský kraj,Kolín,Krychnov,76,66,68
1996,Středočeský kraj,Kolín,Křečhoř,298,244,244
1996,Středočeský kraj,Kolín,Kšely,152,109,110
1996,Středočeský kraj,Kolín,Libenice,195,141,143
1996,Středočeský kraj,Kolín,Libodřice,180,164,164
1996,Středočeský kraj,Kolín,Lipec,150,139,139
1996,Středočeský kraj,Kolín,Lošany,211,165,165
1996,Středočeský kraj,Kolín,Malotice,223,202,202
1996,Středočeský kraj,Kolín,Masojedy,48,40,40
1996,Středočeský kraj,Kolín,Mrzky,96,85,85
1996,Středočeský kraj,Kolín,Nebovidy,374,331,332
1996,Středočeský kraj,Kolín,Němčice,223,176,176
1996,Středočeský kraj,Kolín,Nová Ves I,783,606,612
1996,Středočeský kraj,Kolín,Nučice,229,180,183
1996,Středočeský kraj,Kolín,Ohaře,215,184,185
1996,Středočeský kraj,Kolín,Oleška,639,527,533
1996,Středočeský kraj,Kolín,Oplany,61,53,53
1996,Středočeský kraj,Kolín,Ovčáry,490,395,396
1996,Středočeský kraj,Kolín,Pašinka,246,207,208
1996,Středočeský kraj,Kolín,Pečky,3390,2710,2721
1996,Středočeský kraj,Kolín,Plaňany,1042,867,871
1996,Středočeský kraj,Kolín,Polepy,411,348,350
1996,Středočeský kraj,Kolín,Polní Chrčice,119,105,105
1996,Středočeský kraj,Kolín,Polní Voděrady,107,92,92
1996,Středočeský kraj,Kolín,Poříčany,896,788,796
1996,Středočeský kraj,Kolín,Prusice,58,53,53
1996,Středočeský kraj,Kolín,Přehvozdí,107,82,84
1996,Středočeský kraj,Kolín,Přistoupim,318,248,251
1996,Středočeský kraj,Kolín,Přišimasy,332,253,253
1996,Středočeský kraj,Kolín,Radim,682,586,591
1996,Středočeský kraj,Kolín,Radovesnice I,241,185,186
1996,Středočeský kraj,Kolín,Radovesnice II,345,293,293
1996,Středočeský kraj,Kolín,Ratboř,419,378,383
1996,Středočeský kraj,Kolín,Ratenice,352,295,299
1996,Středočeský kraj,Kolín,Rostoklaty,289,213,215
1996,Středočeský kraj,Kolín,Skvrňov,162,141,145
1996,Středočeský kraj,Kolín,Starý Kolín,1253,941,947
1996,Středočeský kraj,Kolín,Stříbrná Skalice,775,624,627
1996,Středočeský kraj,Kolín,Svojšice,424,328,330
1996,Středočeský kraj,Kolín,Štíhlice,81,67,67
1996,Středočeský kraj,Kolín,Tismice,292,211,211
1996,Středočeský kraj,Kolín,Toušice,198,179,179
1996,Středočeský kraj,Kolín,Třebovle,303,263,266
1996,Středočeský kraj,Kolín,Tři Dvory,698,610,615
1996,Středočeský kraj,Kolín,Tuchoraz,265,206,211
1996,Středočeský kraj,Kolín,Tuklaty,494,377,382
1996,Středočeský kraj,Kolín,Týnec nad Labem,1455,1233,1237
1996,Středočeský kraj,Kolín,Uhlířská Lhota,282,264,264
1996,Středočeský kraj,Kolín,Veletov,159,147,147
1996,Středočeský kraj,Kolín,Velim,1466,1203,1210
1996,Středočeský kraj,Kolín,Velký Osek,1648,1330,1339
1996,Středočeský kraj,Kolín,Veltruby,919,752,756
1996,Středočeský kraj,Kolín,Vitice,695,492,500
1996,Středočeský kraj,Kolín,Vlkančice,94,83,83
1996,Středočeský kraj,Kolín,Volárna,336,266,267
1996,Středočeský kraj,Kolín,Vrátkov,170,145,147
1996,Středočeský kraj,Kolín,Vrbčany,244,196,196
1996,Středočeský kraj,Kolín,Vrbová Lhota,260,260,260
1996,Středočeský kraj,Kolín,Výžerky,91,80,83
1996,Středočeský kraj,Kolín,Vyžlovka,355,322,323
1996,Středočeský kraj,Kolín,Zalešany,104,93,93
1996,Středočeský kraj,Kolín,Zásmuky,1302,1083,1088
1996,Středočeský kraj,Kolín,Žabonosy,177,152,153
1996,Středočeský kraj,Kolín,Ždánice,267,229,230
1996,Středočeský kraj,Kolín,Žiželice,1014,818,823
1996,Středočeský kraj,Kutná Hora,Adamov,103,86,86
1996,Středočeský kraj,Kutná Hora,Bernardov,138,128,128
1996,Středočeský kraj,Kutná Hora,Bílé Podolí,451,390,393
1996,Středočeský kraj,Kutná Hora,Bludov,22,21,21
1996,Středočeský kraj,Kutná Hora,Bohdaneč,348,294,294
1996,Středočeský kraj,Kutná Hora,Brambory,86,77,78
1996,Středočeský kraj,Kutná Hora,Bratčice,332,273,275
1996,Středočeský kraj,Kutná Hora,Církvice,827,642,645
1996,Středočeský kraj,Kutná Hora,Čáslav,7979,5816,5852
